setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,r2_21,rmse21_full,rmse21_cv,b21,bg1,bg2,bg11,dev
0,kl,1e-05,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.0648166180399324,352.09722242578397,384.3512647587492,13.862518670700654,78.38541666666667,76.28125,55.88541666666666,62.55937499999999
0,kl,3.1622776601683795e-05,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.12800607944159875,339.9937527956699,387.952568764433,12.84968154041901,71.85416666666667,67.58333333333333,34.072916666666664,46.945833333333326
0,kl,0.0001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.14179755694677545,337.2943620287162,388.9090231795447,12.633007595647026,67.96875,48.47916666666666,22.61458333333333,28.884375
0,kl,0.0003162277660168,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.2959150708824091,305.5109163490985,338.8418846830495,25.049645465800065,50.53125,24.58333333333333,12.625,18.882291666666667
0,kl,0.001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.23503731129641095,318.4449272337949,372.2835474266494,35.94944469561668,31.125,17.708333333333332,8.572916666666666,11.396875
0,kl,0.0031622776601683,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.23399095001383255,318.66264672502774,375.2175581380921,58.86659399101167,19.39583333333333,10.395833333333334,5.166666666666667,7.292708333333333
0,kl,0.01,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.2806319167223904,308.80888782384926,350.5331346647991,103.85120952110081,11.864583333333334,7.0625,3.4791666666666665,4.720833333333333
0,kl,0.0316227766016837,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.1745808137076596,330.7893269374761,385.45786086694267,132.76905778212435,7.354166666666667,4.96875,2.4166666666666665,3.0687499999999996
0,mi,3.1622776601683795e-05,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.10178277789886545,345.06816752062366,382.86406565234677,14.46687104926819,78.14583333333333,75.08333333333333,51.07291666666666,62.76354166666666
0,mi,0.0001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.12377816502057869,340.81699608896946,387.4802945290466,11.524539783323355,76.67708333333333,62.239583333333336,34.197916666666664,44.24791666666666
0,mi,0.0003162277660168,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.17689226201989194,330.32584215286295,385.7543173565632,14.153634269802017,64.52083333333333,43.72916666666666,19.125,27.359375
0,mi,0.001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.20693295268416545,324.24191901084976,376.6038871949626,20.056962489210697,48.427083333333336,26.4375,11.520833333333334,15.9
0,mi,0.0031622776601683,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.20945395987487253,323.72615754479216,377.2530451702446,32.11866880093966,30.104166666666668,16.052083333333332,6.84375,9.311458333333333
0,mi,0.01,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.23020344565410114,319.4494833345927,376.03588021315727,52.883024120100416,19.197916666666668,10.6875,4.052083333333333,5.754166666666667
0,mi,0.0316227766016837,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.2233574897523171,320.8668034994528,375.84544990082213,95.86770057325539,10.635416666666666,5.729166666666667,2.28125,3.6760416666666664
0,mi,0.1,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.19356359025086925,326.9634990364885,380.5887347666895,137.6265345883002,6.916666666666667,4.322916666666667,1.9375,2.428125
0,mi,0.3162277660168379,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.14193555084211443,337.26724346569983,388.86468999475073,205.3405814175322,3.8958333333333335,2.9166666666666665,1.40625,1.7802083333333336
0,mi_concept,3.1622776601683795e-05,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.6617470159097629,211.75565980012954,215.20958738100188,184.3815923186326,24.08333333333333,19.90625,16.729166666666668,20.065625
0,mi_concept,0.0001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.5927375897040248,232.35465215122338,238.05269263347623,251.2438711733281,16.083333333333332,14.083333333333334,11.552083333333334,13.520833333333334
0,mi_concept,0.0003162277660168,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.573367566363811,237.8160398444232,242.95240705576813,300.5361296550649,11.15625,9.302083333333334,6.989583333333333,9.022916666666667
0,mi_concept,0.001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.46320258945904247,266.7592051645821,275.6041263458887,358.4502934552929,8.458333333333334,6.75,5.260416666666667,6.1239583333333325
0,mi_concept,0.0031622776601683,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.3069454898241202,303.10835367318793,341.22546391493375,354.83377777704845,5.833333333333333,4.697916666666667,3.520833333333333,4.043750000000001
