setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,cond_r2,cond_rmse,n_cond,cond_b,bg1,bg2,bg11,dev1,dev5,dev10
6,mi_concept,0.0001,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.7327790037366666,213.83335312186722,75,113.88846194575312,29.510416666666668,23.979166666666668,21.416666666666668,26.760416666666668,25.84375,25.58333333333333
6,mi_concept,0.0003162277660168,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.5741536035654761,269.3077678178592,75,171.76134677576476,17.59375,15.916666666666666,11.510416666666666,17.739583333333332,15.46875,16.072916666666668
6,mi_concept,0.001,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.5274973175721944,285.4673145571469,75,235.37710629111285,11.385416666666666,10.958333333333334,7.854166666666667,12.520833333333334,9.729166666666666,10.84375
6,mi_concept,0.0031622776601683,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.19323438173343274,364.21980384890253,75,236.1707664564179,6.90625,7.53125,5.010416666666667,7.864583333333333,5.979166666666667,6.46875
6,mi_concept,0.01,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.018562546930840848,405.9091563916398,75,113.93800468897354,3.9375,4.760416666666667,3.395833333333333,4.510416666666667,4.072916666666667,3.2604166666666665
6,mi_concept,0.0316227766016837,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.40277471594747294,407.29263902803655,75,-756.9705531241273,1.65625,2.552083333333333,2.0416666666666665,2.4375,2.5625,2.3854166666666665
6,mi_concept,0.1,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.598729160430403,407.29263902803655,75,-1843.6150948194434,1.2395833333333333,1.4895833333333333,1.6145833333333333,1.6041666666666667,1.6666666666666667,1.6875
6,mi_concept,0.3162277660168379,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.49477020159519247,407.29263902803655,75,-3351.4389978759896,1.09375,1.21875,1.1770833333333333,1.1458333333333333,1.34375,1.21875
6,mi_concept,1.0,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.3291281836474113,407.29263902803655,75,-5434.678156952645,1.0,1.0416666666666667,1.1145833333333333,1.0416666666666667,1.1145833333333333,1.0833333333333333
6,mi_concept,3.1622776601683795,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.0022874998787678095,407.29263902803655,75,-790.1579869575736,1.03125,1.0,1.0625,1.0,1.03125,1.0208333333333333
7,mi_concept,3.1622776601683795e-05,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.7475441450334227,208.80759774668232,75,69.11999904024881,58.458333333333336,50.38541666666666,35.416666666666664,58.03125,50.583333333333336,51.75
7,mi_concept,0.0001,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.5754382175568288,268.76934085575374,75,65.37696689124405,40.69791666666666,33.552083333333336,25.59375,39.8125,36.1875,32.770833333333336
7,mi_concept,0.0003162277660168,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.33436744126044793,333.7327095684506,75,79.62358151987218,23.96875,24.20833333333333,16.270833333333332,22.947916666666668,20.23958333333333,17.791666666666668
7,mi_concept,0.001,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.6487142693111342,239.90138671948006,75,173.9625074458052,16.0625,13.416666666666666,8.4375,15.572916666666666,11.34375,10.947916666666666
7,mi_concept,0.0031622776601683,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.003522431917904726,410.57633014817463,75,38.6189352342405,6.885416666666667,7.885416666666667,5.5,8.28125,7.677083333333333,5.802083333333333
7,mi_concept,0.01,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.28041503780849436,407.29263902803655,75,-430.84428703756913,3.2916666666666665,4.625,3.03125,4.645833333333333,3.8958333333333335,3.96875
7,mi_concept,0.0316227766016837,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.2225039489533267,407.29263902803655,75,-777.9124179968901,2.020833333333333,2.09375,2.145833333333333,2.53125,2.614583333333333,1.84375
7,mi_concept,0.1,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.33464885962299434,407.29263902803655,75,-1401.8011049144473,1.3020833333333333,1.375,1.5416666666666667,1.4375,1.6666666666666667,1.4791666666666667
