setting,metric,world_EIGs,pooled_rmse,pooled_r2,within_r2,within_rmse,within_b,pred_sd,pred_bg1,pred_bg10,pred_dev10,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps
68,eig_within,0.0017782794100389228,4.809218888680101,0.060120823974525006,0.0040152080937386125,11.63901663060462,1.163903775321756,0.7503279849701469,3.437767180401116,1.0000024674783978,1.0000028465808188,3.0,1.0,1.0,,1.0,True
68,eig_within,0.0031622776601683794,4.809218837351276,0.06012086369006929,0.004015209638581391,11.63901663042181,1.2312135000705877,0.7093081469352182,3.3044955470772845,1.000001387567973,1.0000016007549555,3.0,1.0,1.0,,1.0,True
68,eig_within,0.005623413251903491,4.80921880642979,0.06012088761541668,0.004015210569219397,11.639016630311742,1.2911483080489423,0.6763823568835136,3.197521208088636,1.00000078028773,1.0000009001722205,3.0,1.0,1.0,,1.0,True
68,eig_within,0.01,4.809218787873592,0.06012090197315971,0.004015211127699894,11.63901663024571,1.3374027037694027,0.6529896134725656,3.121519298927886,1.0000004387883261,1.0000005062045318,3.0,1.0,1.0,,1.0,True
68,eig_within,0.01778279410038923,4.809218776890837,0.060120910470989594,0.004015211458244035,11.639016630206637,1.36932858840362,0.6377652397662484,3.0720560322293946,1.0000002467489006,1.000000284659883,3.0,1.0,1.0,,1.0,True
68,eig_within,0.03162277660168379,4.8092187704921745,0.06012091542190837,0.004015211650822192,11.639016630183871,1.3897360321728305,0.6284000854312891,3.041629091156525,1.0000001387571327,1.000000160076065,3.0,1.0,1.0,,1.0,True
68,eig_within,0.05623413251903491,4.809218766811956,0.06012091826945096,0.004015211761584324,11.639016630170781,1.402208418330627,0.6228106099198585,3.0234691553781534,1.0000000780288791,1.0000000900174022,3.0,1.0,1.0,,1.0,True
68,eig_within,0.1,4.809218764714049,0.06012091989268943,0.004015211824724146,11.639016630163319,1.4097339961473998,0.6194858762537548,3.012667265926149,1.000000043878866,1.0000000506205102,3.0,1.0,1.0,,1.0,True
68,kl,1e-07,4.809218639683204,0.060121024338008325,0.004015216772466954,11.639016608655698,1.3920726179927037,0.6273456953677372,4.038202486311572,1.9999987026735495,1.9999987379212225,3.0,1.0,1.0,,1.0,True
68,kl,1.7782794100389227e-07,4.809218530986012,0.060121114550711105,0.004015220983387138,11.639016591566111,1.40360226674483,0.6221927937120378,4.02146019890828,1.9999975038592972,1.999997537480412,3.0,1.0,1.0,,1.0,True
68,kl,3.162277660168379e-07,4.809218342551526,0.060121271222404675,0.004015228326589218,11.639016561170907,1.4105581468085753,0.6191251111892342,4.011492117868929,1.9999954548154173,1.999995498261906,3.0,1.0,1.0,,1.0,True
68,kl,5.62341325190349e-07,4.809218010071026,0.06012154782465822,0.004015241308554229,11.639016507089815,1.4149367452892536,0.6172101225002368,4.005268061665968,1.9999918576115128,1.999991925681786,3.0,1.0,1.0,,1.0,True
68,kl,1e-06,4.809217419788995,0.06012203899641084,0.0040152643711169195,11.63901641081689,1.4181044837042454,0.6158330443298075,4.000789828517235,1.999985487017283,1.999985602896321,3.0,1.0,1.0,,1.0,True
68,kl,1.778279410038923e-06,4.809216369009844,0.060122913402839956,0.004015305433785303,11.63901623929228,1.4210971601389055,0.6145390680647196,3.996578345556776,1.9999741732404654,1.999974376395361,3.0,1.0,1.0,,1.0,True
68,kl,3.162277660168379e-06,4.809214494662762,0.06012447318146935,0.004015378684932272,11.639015933249825,1.424912476400113,0.6128987503442717,3.991235844485331,1.9999540630933907,1.999954422711159,3.0,1.0,1.0,,1.0,True
68,kl,5.623413251903491e-06,4.809211142137567,0.0601272631052583,0.004015509707800013,11.639015385806339,1.4308187006455597,0.6103779782979105,3.9830225221125937,1.9999183082850527,1.9999189468217684,3.0,1.0,1.0,,1.0,True
68,kl,1e-05,4.809205119097708,0.060132275499202734,0.0040157451026178815,11.639014402266895,1.440741638949352,0.6061904729391753,3.9693757939017256,1.9998547351783669,1.9998558700152544,3.0,1.0,1.0,,1.0,True
68,kl,1.778279410038923e-05,4.809194218623231,0.06014134722690142,0.004016171125879082,11.63901262226852,1.4577997694873441,0.599126613580743,3.9463514114467024,1.999741705869786,1.9997437231839512,3.0,1.0,1.0,,1.0,True
68,kl,3.1622776601683795e-05,4.809174258128627,0.06015796002037401,0.004016951260764323,11.639009362882241,1.4870134305781748,0.5874089764641899,3.9081492214084506,1.999540772119796,1.9995443578748973,3.0,1.0,1.0,,1.0,True
68,kl,5.623413251903491e-05,4.809137065495728,0.06018891827485905,0.004018404954468551,11.6390032899326,1.5360205231274007,0.568762751104455,3.847333215488241,1.9991836556862719,1.9991900275513375,3.0,1.0,1.0,,1.0,True
68,kl,0.0001,4.809066178238028,0.06024793505607707,0.0040211758083778665,11.638991716456722,1.6151052678024251,0.5410856340109509,3.7569924687302376,1.998549233115641,1.9985605497558214,3.0,1.0,1.0,,1.0,True
68,kl,0.00017782794100389227,4.808927895596023,0.06036310453589026,0.004026581630637958,11.638969144992846,1.7349687776751457,0.5040177048559891,3.6358142355320804,1.9974230405822506,1.9974431197109375,3.0,1.0,1.0,,1.0,True
68,kl,0.00031622776601683794,4.808654296340507,0.06059113317587898,0.004037279284137112,11.638924509589371,1.9005816287005401,0.46066566997214786,3.493638064486611,1.9954266183699838,1.9954621830436148,3.0,1.0,1.0,,1.0,True
68,kl,0.0005623413251903491,4.80811564444142,0.061040662455334314,0.004058346773150792,11.638836731149727,2.103193779738769,0.4172943678866188,3.3503699157506506,1.9918960943424961,1.9919588941323558,3.0,1.0,1.0,,1.0,True
68,kl,0.001,4.80708215448202,0.06190529294794274,0.00409878877759552,11.638668693048439,2.3196536087167647,0.38009886079454186,3.225349450758712,1.9856793134393254,1.985789604957939,3.0,1.0,1.0,,1.0,True
