r2,rmse,r2_boot_sd,r2_boot_lo,r2_boot_hi,hab,dis,first_drop,task,cell,metric,rule,experiment,family,control,seed,setting,world_EIGs,sd_epsilon,sigma_true,V_prior,alpha_prior,beta_prior,seconds,host,procs,job,smoke,order,fam1,fam6,dev_pose,dev_number,dev_identity,dev_animacy,r2_paper
0.28664242947047525,347.35409011172095,0.004935534759356023,0.27658533767105903,0.29661634472720744,0.3411113049546406,1.343933000895026,0.3210484996510816,kl_exp1_f05,kl,kl,rmse,exp1,5,False,9105006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,457.1017966270447,sh03-15n19.int,24,45063048,False,,,,,,,,0.5958708344734237
0.30931331314104077,332.83892609819367,0.004909029046008951,0.30040805584459895,0.31912651178276347,0.33668623726472113,1.3579433260674443,0.3594370575030219,kl_exp1_f06,kl,kl,rmse,exp1,6,False,9106006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,240.43725442886353,sh04-17n29.int,24,45063045,False,,,,,,,,0.6273813067126163
0.2930849240426826,342.8574863682323,0.004702926239771408,0.28419527945480677,0.30204788890932743,0.33436679154286697,1.3540115904700583,0.3492658140636439,kl_exp1_f07,kl,kl,rmse,exp1,7,False,9107006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,499.56216955184937,sh03-15n19.int,24,45063047,False,,,,,,,,0.6121835504087594
0.2908218490382458,344.9564346091237,0.004834113012978545,0.28089998664121263,0.29998545098230145,0.3317037293415246,1.3742663362462502,0.35298953015488455,kl_exp1_f08,kl,kl,rmse,exp1,8,False,9108006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,526.1432731151581,sh03-15n19.int,24,45063048,False,,,,,,,,0.613854021870203
0.48407467362194256,0.21449997777086513,0.010710941585716404,0.4613859906653924,0.5023665732689654,,,,kl_exp2_f01,kl,kl,rmse,exp2,1,False,9201006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,352.60840368270874,sh03-15n19.int,24,45063047,False,anim>iden>numb>pose,4.932441571651951,1.9479830432609018,2.4927662037037037,2.5775335775335777,2.7104502271788515,3.1271402550091074,
0.4907502953142367,0.21310773863059662,0.010783571474321135,0.46810165038818424,0.5100819623450461,,,,kl_exp2_f02,kl,kl,rmse,exp2,2,False,9202006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,384.12912464141846,sh03-15n19.int,24,45063048,False,anim>iden>numb>pose,4.923573441699888,1.9525546604349393,2.480902777777778,2.5473137973137976,2.6894878149524994,3.1306010928961747,
0.489237246916068,0.21342408949935962,0.01112057238482333,0.46567689673347284,0.510441485893797,,,,kl_exp2_f03,kl,kl,rmse,exp2,3,False,9203006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,137.36603331565857,sh04-17n29.int,24,45063045,False,anim>iden>numb>pose,4.936633801892272,1.9451266663896736,2.506944444444444,2.528083028083028,2.6969227591904175,3.1091074681238617,
0.48639320890281157,0.2140174604982412,0.010908175940660608,0.4650148941097426,0.5070961250216671,,,,kl_exp2_f04,kl,kl,rmse,exp2,4,False,9204006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,138.53878259658813,sh04-17n29.int,24,45063045,False,anim>iden>numb>pose,4.889437580870217,1.920768379978646,2.4895833333333335,2.5772283272283274,2.6941346551011978,3.12431693989071,
0.48652690550909944,0.21398960332133363,0.011224854038079822,0.4625664578196656,0.5055652375142635,,,,kl_exp2_f05,kl,kl,rmse,exp2,5,False,9205006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,274.45953130722046,sh03-15n19.int,24,45063048,False,anim>iden>numb>pose,4.937704433457926,1.9284624710571219,2.428819444444444,2.565018315018315,2.688558446922759,3.107650273224044,
0.5051447260709186,0.2100743020346433,0.011549854123230634,0.4850040404894604,0.5298264990985251,,,,kl_exp2_f06,kl,kl,rmse,exp2,6,False,9206006,10,0.0999999999999999,1.0,0.1,1.0,10.0,0.1,138.140615940094,sh04-17n29.int,24,45063045,False,anim>iden>numb>pose,4.919714140479021,1.9641690895874766,2.501157407407408,2.5863858363858365,2.688248657579513,3.1772313296903465,
