setting,metric,world_EIGs,pooled_rmse,pooled_r2,within_r2,within_rmse,within_b,pred_sd,pred_bg1,pred_bg10,pred_dev10,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps
24,kl,0.01,4.762808085098442,0.10534944106589288,0.006089849567784774,11.62958138171963,3.031031918218902,0.34783726661306524,2.952230041026532,1.7611519488662546,1.769724917119909,1.0,10.0,10.0,,0.1,True
24,kl,0.01778279410038923,4.74618712561899,0.12232884278081055,0.006850929175068962,11.626103230261691,3.047857991473116,0.36397049523971126,2.9001252336527745,1.6418399844406222,1.6527700519399158,1.0,10.0,10.0,,0.1,True
24,kl,0.03162277660168379,4.733932767862121,0.13585690878504533,0.007468848826939471,11.623128186812833,3.023162297556048,0.3804153004665966,2.8201371256728867,1.50192821915477,1.5139315710116719,1.0,10.0,10.0,,0.1,True
24,kl,0.056234132519034905,4.729911774078612,0.14218372503955506,0.007775924374170576,11.621381434881366,3.0220409397486283,0.38657091034345664,2.6960365104681743,1.3617138324676537,1.3729098983288957,1.0,10.0,10.0,,0.1,True
24,kl,0.09999999999999999,4.733734604336542,0.14112536906297252,0.007750035818303404,11.621087559135027,3.1423840881605343,0.3706804726130428,2.5128912466814106,1.2416637489138127,1.250627707456874,1.0,10.0,10.0,,0.1,True
24,mi,9.999999999999999e-06,4.809216128135915,0.0601261819322915,0.004015451592404718,11.639014881293237,0.7309324985068164,1.1948196077639825,4.88190448717059,1.0000000226997177,1.0000000248521546,1.0,10.0,10.0,,0.1,True
24,mi,1.6155980984398728e-05,4.809217106029607,0.06012422893886727,0.004015362598384192,11.639015530630765,0.7423770301814735,1.17638911774385,4.8220184393255705,1.0000000140503496,1.0000000153826345,1.0,10.0,10.0,,0.1,True
24,mi,2.6101572156825383e-05,4.809217714687813,0.060123013415746676,0.004015307209172819,11.639015934776792,0.7584937237939738,1.151386114603865,4.740781282798163,1.0000000086966863,1.0000000095213248,1.0,10.0,10.0,,0.1,True
24,mi,4.216965034285822e-05,4.809218095552589,0.06012225282952549,0.004015272550525962,11.639016187664017,0.7797486541649935,1.119996724426449,4.63879676125159,1.0000000053829516,1.000000005893375,1.0,10.0,10.0,,0.1,True
24,mi,6.812920690579608e-05,4.809218335864975,0.060121772934539144,0.004015250682473318,11.639016347225018,0.8054773262980212,1.0842191195974005,4.522556199766054,1.000000003331863,1.0000000036477974,1.0,10.0,10.0,,0.1,True
