setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,sd_epsilon,sigma_true,pooled_rmse,pooled_r2,pooled_r,within_r2,within_b,pred_bg1,pred_bg10,pred_dev10
28,surprisal_b,3.162277660168379,1.0,1.0,1.0,1.0,0.1,4.626053576305614,0.23492386358993256,0.4846894506691192,0.012861126947036162,6.055415489637915,4.090323254309167,3.310715529210446,3.341190601897465
28,surprisal_b,5.62341325190349,1.0,1.0,1.0,1.0,0.1,4.628087437268996,0.23317141408978131,0.48287826011302404,0.012709307963274337,10.222066869034586,2.7650400998747027,2.3022183087782744,2.3193857314053568
28,surprisal_b,10.0,1.0,1.0,1.0,1.0,0.1,4.629944896537164,0.23159189375913325,0.4812399544500989,0.01258510697367419,17.30756496344088,2.007463620522857,1.7339208876607646,1.7436018092051546
28,surprisal_b,17.78279410038923,1.0,1.0,1.0,1.0,0.1,4.631326974260396,0.23044054512023412,0.4800422326423313,0.012502361070126516,29.57652365042568,1.573552342752438,1.4135299748698689,1.4189839418230468
28,surprisal_b,31.622776601683796,1.0,1.0,1.0,1.0,0.1,4.632196765352048,0.22973784713443662,0.47930976115079965,0.012456036888071075,51.11531916945558,1.325431331484377,1.2329007347840804,1.235972247564282
28,surprisal_b,56.23413251903491,1.0,1.0,1.0,1.0,0.1,4.632692212251174,0.2293526958604255,0.47890781561843976,0.012432813565565904,89.21292130405493,1.1840910197088583,1.1311084647144671,1.1328385125924607
28,surprisal_b,100.0,1.0,1.0,1.0,1.0,0.1,4.632963418139687,0.22915002680143962,0.478696173790265,0.012421655714759632,156.82451393549343,1.103903799612263,1.073777684579514,1.074752065683399
41,eig_code,1e-07,1.0,10.0,1.0,0.1,0.2,4.733151512724436,0.14287509872371337,0.37798822564163737,0.008835942577308858,14.228965094264753,499.65198262493345,499.4266593566346,499.37786660676085
41,eig_code,2.1544346900318822e-07,1.0,10.0,1.0,0.1,0.2,4.733088215342928,0.14291607378776844,0.37804242326459664,0.008838453714821405,6.6171326981778975,499.2506487103064,498.76603253629906,498.66117807446943
41,eig_code,4.641588833612782e-07,1.0,10.0,1.0,0.1,0.2,4.7329523915193406,0.1430039123311985,0.3781585809302739,0.008843836953357043,3.0840555130446874,498.3875619869016,497.34731850030965,497.1226455895028
41,eig_code,1e-06,1.0,10.0,1.0,0.1,0.2,4.732662287924426,0.14319112692160973,0.3784060344677523,0.008855311039901687,1.4441947762440255,496.53531858754474,494.31182951879856,493.8334223958243
41,eig_code,2.1544346900318822e-06,1.0,10.0,1.0,0.1,0.2,4.732048782697618,0.14358524385873464,0.3789264359459955,0.008879468182958873,0.6831437002686113,492.57804899971325,487.8683031821989,486.8630905133339
41,eig_code,4.641588833612773e-06,1.0,10.0,1.0,0.1,0.2,4.730778556869911,0.14439333234471252,0.3799912266680805,0.008929009177905973,0.3301234074386748,484.2043486401455,474.4191338169298,472.3653638042456
41,eig_code,9.999999999999999e-06,1.0,10.0,1.0,0.1,0.2,4.728263586419484,0.14596072781877759,0.38204807003671354,0.009025134909440414,0.1667690571320717,466.84552089823273,447.324989009851,443.36275276421003
41,eig_code,2.154434690031882e-05,1.0,10.0,1.0,0.1,0.2,4.723720665416467,0.14867507091332052,0.3855840646516924,0.009191661250499628,0.09208250575280515,432.3894530742453,396.5596166629303,389.72126023846545
41,eig_code,4.641588833612773e-05,1.0,10.0,1.0,0.1,0.2,4.716844301822138,0.15247271794041134,0.39047755113503174,0.009424144718471413,0.06009694381685635,369.8709515112893,313.91699715614476,304.23016223937486
41,eig_code,9.999999999999999e-05,1.0,10.0,1.0,0.1,0.2,4.709071578075123,0.1563819854145733,0.3954516220912152,0.009656936743675789,0.05200891599439904,274.8267194150755,208.80283633011925,198.71756545525648
41,eig_code,0.00021544346900318823,1.0,10.0,1.0,0.1,0.2,4.702486986532462,0.16022713346371262,0.400283816140139,0.009852471944480022,0.06589951286577315,169.07095460000215,115.80854136249673,108.76229410333139
41,eig_code,0.00046415888336127773,1.0,10.0,1.0,0.1,0.2,4.6960011968785915,0.16590051071784784,0.4073088640305387,0.010087560869686029,0.11049728356060447,92.31847485033818,59.60570430842043,56.10280767323078
41,eig_code,0.001,1.0,10.0,1.0,0.1,0.2,4.68701886008056,0.17451444452962137,0.41774926035795845,0.010426291252730072,0.18242155628420711,52.25106246242898,31.624383909997075,30.08548441456733
41,eig_code,0.002154434690031882,1.0,10.0,1.0,0.1,0.2,4.675672418511903,0.1854186842367359,0.4306026988265818,0.010850335753599519,0.2645937087464509,32.42364058203625,17.52409447798124,16.85313035913018
41,eig_code,0.004641588833612772,1.0,10.0,1.0,0.1,0.2,4.667410933039644,0.19467213776803446,0.4412166562676827,0.011168249431293074,0.3520679674422232,21.635635297244818,9.957427609648104,9.662817780637782
41,eig_code,0.01,1.0,10.0,1.0,0.1,0.2,4.668615333075497,0.1972774971290126,0.44415931503123135,0.011114374514046912,0.4596808765625089,14.983908741644285,5.796509748488057,5.670800692008723
41,eig_code,0.021544346900318822,1.0,10.0,1.0,0.1,0.2,4.68023850877106,0.19085004256535124,0.43686387189300885,0.010585147036959116,0.5998305563434352,10.612501899106233,3.5326624926403287,3.480850421380552
41,eig_code,0.046415888336127725,1.0,10.0,1.0,0.1,0.2,4.699049407788646,0.17612549372399924,0.41967307957980726,0.009675374835717072,0.7757789435819383,7.700182489872355,2.313362621606233,2.291926718633588
41,eig_code,0.09999999999999999,1.0,10.0,1.0,0.1,0.2,4.721482039016463,0.1553611574908782,0.3941587973024048,0.008551121927965349,0.9882335433540111,5.741411980160773,1.6638208055786163,1.6550122289628837
41,kl,1e-07,1.0,10.0,1.0,0.1,0.2,4.664317835019277,0.19664173198200402,0.4434430425454931,0.009668000550137761,2.7761141493066805,498.96081953672643,497.529790719022,497.3916713593898
41,kl,2.1544346900318822e-07,1.0,10.0,1.0,0.1,0.2,4.666213740419874,0.19476068690920575,0.4413169914123019,0.009581893762157047,1.3006337581384708,497.77022857402727,494.74073301914353,494.4249210519067
41,kl,4.641588833612782e-07,1.0,10.0,1.0,0.1,0.2,4.6698156532985555,0.19120224229134697,0.4372667861744669,0.009419953732421077,0.6158907796180443,495.237210813269,488.93928758079596,488.18818187490774
41,kl,1e-06,1.0,10.0,1.0,0.1,0.2,4.675737776769758,0.18539634103807107,0.4305767539452996,0.009159304471319202,0.29831848455327753,489.9202900315001,477.25472904959537,475.4160727706512
41,kl,2.1544346900318822e-06,1.0,10.0,1.0,0.1,0.2,4.682904730160628,0.17845092767448484,0.42243452471890225,0.00885917843546285,0.15141114540630568,479.0456683918332,454.8867390948128,450.53781992213254
41,kl,4.641588833612773e-06,1.0,10.0,1.0,0.1,0.2,4.687294450512717,0.17426443030969235,0.4174499135341776,0.008712290067841431,0.08392975621831124,457.7993035782949,415.04819120748135,406.1397859068354
41,kl,9.999999999999999e-06,1.0,10.0,1.0,0.1,0.2,4.686008499936541,0.17557719115420392,0.41901932074094617,0.008860947742704716,0.05361092471299161,419.2643449071668,351.5468843019137,337.17704557385593
41,kl,2.154434690031882e-05,1.0,10.0,1.0,0.1,0.2,4.679419916093164,0.1820011232086009,0.42661589657278465,0.009299445598772169,0.04183157423253486,357.2431387234115,266.45869155290393,249.69062947729228
41,kl,4.641588833612773e-05,1.0,10.0,1.0,0.1,0.2,4.66677805302154,0.1942150770037649,0.44069839686997375,0.010054194586750756,0.041406131543197985,274.5503819410137,175.63094443166065,163.3707686265169
41,kl,9.999999999999999e-05,1.0,10.0,1.0,0.1,0.2,4.652950015436091,0.2080652056812659,0.45614165089505465,0.010938093669309062,0.04995135187639236,188.30711080858455,100.06842124582926,95.28386867852252
41,kl,0.00021544346900318823,1.0,10.0,1.0,0.1,0.2,4.644332623600324,0.21642744331878463,0.4652176300601522,0.011584486284802001,0.06944644734387738,115.79424064819263,50.23371088890037,49.46363975416372
41,kl,0.00046415888336127773,1.0,10.0,1.0,0.1,0.2,4.644493764524257,0.21671547159034385,0.46552709007139836,0.01178749535344785,0.11480691169977371,63.451578717409625,24.170742978876902,24.21454533432539
41,kl,0.001,1.0,10.0,1.0,0.1,0.2,4.649849372597678,0.21368805992624587,0.46226405865722014,0.011856653855283094,0.2209481869435133,33.01651661667747,13.037635525687755,13.13854656688318
41,kl,0.002154434690031882,1.0,10.0,1.0,0.1,0.2,4.648451031993714,0.21551617041549567,0.4642371919778678,0.012068702941592336,0.3757725210868688,19.6528375228236,7.938175556845,8.080439142289352
41,kl,0.004641588833612772,1.0,10.0,1.0,0.1,0.2,4.6513006351535005,0.21536444288195783,0.46407374724493716,0.011917422592511223,0.5185726591660009,13.653377922141926,5.090988512053386,5.240755097659684
41,kl,0.01,1.0,10.0,1.0,0.1,0.2,4.660390621988087,0.20992747997163363,0.4581784368252544,0.01141300746973889,0.6822659070277962,9.95762937581153,3.402615254155512,3.5532204787184263
41,kl,0.021544346900318822,1.0,10.0,1.0,0.1,0.2,4.671819224532696,0.20143979791736694,0.4488204517592385,0.010792039231460767,0.8880625604044172,7.428914989056384,2.3807584246616957,2.5259333701239224
41,kl,0.046415888336127725,1.0,10.0,1.0,0.1,0.2,4.6847279828701325,0.190587804736001,0.43656363194384507,0.010128723345256458,1.1516163914447817,5.625661773822657,1.7624404654734576,1.8854591823153386
41,kl,0.09999999999999999,1.0,10.0,1.0,0.1,0.2,4.699871338071221,0.17696426720928737,0.42067121034043603,0.009401644999097531,1.5185350860376263,4.265212298044067,1.3995332596408956,1.4879508620956248
41,mi,9.999999999999999e-06,1.0,10.0,1.0,0.1,0.2,4.6706433414627275,0.20014736822778362,0.44737832784767706,0.011838418849403655,0.1377157691115093,467.0147187702458,437.3681251652934,435.60311066453596
41,mi,1.8957356524063752e-05,1.0,10.0,1.0,0.1,0.2,4.667320133956863,0.2017043619928305,0.4491150876922646,0.011919314949185517,0.08372891287800739,440.0517066859459,391.0585843252145,388.3230156341788
41,mi,3.5938136638046256e-05,1.0,10.0,1.0,0.1,0.2,4.662659461729011,0.20375030627730611,0.4513870913941892,0.012020194475210074,0.05681333045443184,394.81017163268876,322.142281680745,318.4524625179012
41,mi,6.812920690579608e-05,1.0,10.0,1.0,0.1,0.2,4.6576082321357015,0.20576158767014643,0.4536095101187214,0.012105106199955784,0.04591990433900986,326.21674500008027,235.6729838990229,231.5862598993768
41,mi,0.00012915496650148838,1.0,10.0,1.0,0.1,0.2,4.654189402369008,0.20703551201500922,0.4550115515182106,0.012128701869008137,0.047522085679864975,238.6958666569515,150.63387089612513,147.11923151486528
41,mi,0.00024484367468222265,1.0,10.0,1.0,0.1,0.2,4.653192245484958,0.20757787728893304,0.45560715236806043,0.012096257516106759,0.06458095284844151,152.8239738555819,87.63994042492936,85.38584431613276
41,mi,0.00046415888336127817,1.0,10.0,1.0,0.1,0.2,4.652957339475747,0.20785396847103257,0.4559100442752195,0.01205233111109771,0.10299925246330911,91.28270488584958,50.24979622653323,49.122980989167665
41,mi,0.0008799225435691074,1.0,10.0,1.0,0.1,0.2,4.6522167839477895,0.20857054444737408,0.4566952424181514,0.012027994585821426,0.16106470527875108,55.92509902710406,29.602568007832556,29.117173471036747
41,mi,0.001668100537200059,1.0,10.0,1.0,0.1,0.2,4.65045278274267,0.21040761083841608,0.4587020937802836,0.01204377548751548,0.23103798398216172,36.37307093298383,17.902590666031685,17.72564950286255
41,mi,0.0031622776601683794,1.0,10.0,1.0,0.1,0.2,4.648825766671989,0.21271437451588288,0.46120968606034596,0.012066857663503546,0.3094208029218216,24.92303452232378,10.98846130573653,10.945732415146525
41,mi,0.005994842503189409,1.0,10.0,1.0,0.1,0.2,4.650192067876823,0.21353607878239608,0.4620996416168228,0.01199020669644565,0.4053281664093472,17.593969673295245,6.835725817192508,6.8467372931353845
41,mi,0.011364636663857255,1.0,10.0,1.0,0.1,0.2,4.656512973625844,0.21091328728333028,0.4592529665482089,0.01170786568534721,0.5355116798228358,12.57534092472382,4.369692735997744,4.398742965077205
41,mi,0.021544346900318843,1.0,10.0,1.0,0.1,0.2,4.66785816436566,0.2037209978382725,0.45135462536488147,0.011175860710331461,0.7142226491400773,9.078973127238234,2.927204725256059,2.956806597246594
41,mi,0.04084238652674522,1.0,10.0,1.0,0.1,0.2,4.6834449729556,0.19157413406261642,0.4376918254464166,0.010408395235938466,0.9509974812331449,6.660791492509209,2.0905049735468895,2.1139754251101723
41,mi,0.07742636826811278,1.0,10.0,1.0,0.1,0.2,4.702307777878898,0.1747060522114654,0.4179785308020801,0.009461094020188056,1.2496261660852217,5.002994615101465,1.6085163271225305,1.6249700244336884
