V,alpha,beta,eps,w,r2,rmse,ani_id
1.0,3.0,0.1,0.4,0.0008111308307896872,0.46248893714001194,1.5684761712871815,1.4642114251652991
1.0,3.0,0.1,0.4,0.0013688745095370807,0.45941384495776033,1.572956386144644,1.4267768596018389
1.0,3.0,0.1,0.4,0.002310129700083158,0.45628136679901315,1.5775071263243203,1.3723412564858832
1.0,3.0,0.1,0.4,0.003898603702549072,0.45337687513100855,1.5817149586087245,1.3047573455350219
1.0,3.0,0.1,0.4,0.006579332246575682,0.45094360295455055,1.5852315216648174,1.232678564157372
1.0,3.0,0.1,0.4,0.011103363181676379,0.44908940583341495,1.5879059776452356,1.1661351733874077
1.0,3.0,0.1,0.4,0.01873817422860383,0.44778307132018397,1.5897875063170968,1.1120269611658697
1.0,3.0,0.1,0.4,0.03162277660168379,0.4469154919238717,1.5910358613587103,1.072292716058146
1.0,3.0,0.1,0.5,0.0001,0.4738634653354802,1.5517917963058268,1.4660618445782794
1.0,3.0,0.1,0.5,0.0001687612475788147,0.471188581123215,1.5557314590290479,1.4709753963141816
1.0,3.0,0.1,0.5,0.0002848035868435802,0.46822878842248317,1.5600791501891393,1.4671307382940595
1.0,3.0,0.1,0.5,0.0004806380863064389,0.4650513084667903,1.5647331603364711,1.4500451903839693
1.0,3.0,0.1,0.5,0.0008111308307896872,0.46179952182544814,1.5694817180183283,1.4155815109365262
1.0,3.0,0.1,0.5,0.0013688745095370807,0.45868567046259223,1.574015422950974,1.362587543677543
1.0,3.0,0.1,0.5,0.002310129700083158,0.4559364142627626,1.5780074575336813,1.2955046070390488
1.0,3.0,0.1,0.5,0.003898603702549072,0.453711205400767,1.5812311736670759,1.224005272831114
1.0,3.0,0.1,0.5,0.006579332246575682,0.45205208020072857,1.5836305195941358,1.1586764824363103
1.0,3.0,0.1,0.5,0.011103363181676379,0.4508978821184033,1.5852975227188693,1.106242933064901
1.0,3.0,0.1,0.5,0.01873817422860383,0.45013668751465863,1.5863959541081327,1.0681870496466983
1.0,3.0,0.1,0.5,0.03162277660168379,0.4496534833870859,1.5870928407009661,1.0424940348713192
1.0,3.0,0.1,0.7,0.0001,0.47654872192394726,1.5478267708463522,1.4461673305686369
1.0,3.0,0.1,0.7,0.0001687612475788147,0.47303334557655174,1.5530154951357986,1.438521635082693
1.0,3.0,0.1,0.7,0.0002848035868435802,0.46963999566992676,1.5580077165185475,1.4119263175101224
1.0,3.0,0.1,0.7,0.0004806380863064389,0.4665354822778709,1.5625610370669898,1.364137454738698
1.0,3.0,0.1,0.7,0.0008111308307896872,0.4638766352903104,1.5664501868302243,1.2993797316460918
1.0,3.0,0.1,0.7,0.0013688745095370807,0.4617597695886412,1.5695396790007419,1.2280794067125984
1.0,3.0,0.1,0.7,0.002310129700083158,0.460191534668148,1.5718245478124084,1.16194402763162
1.0,3.0,0.1,0.7,0.003898603702549072,0.4591014710462251,1.57341078140992,1.1085249218067146
