V_prior,alpha_prior,beta_prior,eps_fixed,world_EIGs,r2,rmse,n_cond
2.0,10.0,1.0,0.1,0.01,0.6816078096322951,225.926731396021,75
2.0,10.0,1.0,0.2,0.0001,0.5987013622265545,255.28532065579938,75
2.0,10.0,1.0,0.2,0.00025118864315095795,0.584698199990612,259.9173922594219,75
2.0,10.0,1.0,0.2,0.000630957344480193,0.5726309119572177,263.8446373000107,75
2.0,10.0,1.0,0.2,0.001584893192461114,0.5684376073624026,265.0747712420759,75
2.0,10.0,1.0,0.2,0.003981071705534973,0.5760440671499071,262.3336609119777,75
2.0,10.0,1.0,0.2,0.01,0.5855637075683989,258.9886339650075,75
2.0,10.0,1.0,0.3,0.0001,0.5456417497620728,272.68687146033915,75
2.0,10.0,1.0,0.3,0.00025118864315095795,0.5294424663318248,277.842826288702,75
2.0,10.0,1.0,0.3,0.000630957344480193,0.5164194950599699,281.9111547940149,75
2.0,10.0,1.0,0.3,0.001584893192461114,0.5097165701360873,283.9136761378269,75
2.0,10.0,1.0,0.3,0.003981071705534973,0.5118644240834389,283.0825355794528,75
2.0,10.0,1.0,0.3,0.01,0.5175014831538739,281.16989594837264,75
2.0,10.0,1.0,0.5,0.0001,0.4727268920049796,295.5015620724619,75
2.0,10.0,1.0,0.5,0.00025118864315095795,0.45931746903647974,299.5298884371303,75
2.0,10.0,1.0,0.5,0.000630957344480193,0.44904417470629854,302.57136081985755,75
2.0,10.0,1.0,0.5,0.001584893192461114,0.44155728377877385,304.7615484594961,75
2.0,10.0,1.0,0.5,0.003981071705534973,0.43555949670717786,306.51595754482287,75
2.0,10.0,1.0,0.5,0.01,0.42954577610052225,308.2946109292172,75
