world,channel,test_type,t,y,lo,hi
"2. noisy world (.1), eps fixed .1",KL (realized),background,13,0.00045094459552343617,0.0004326228202899328,0.00046926637075693956
"2. noisy world (.1), eps fixed .1",implemented EIG,background,13,0.0015736232659714488,0.0015688557414491992,0.0015783907904936983
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),background,14,0.00028177108307491386,0.0002814659797826149,0.0002820761863672128
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),background,14,3.7568941364216304e-05,3.655562345435086e-05,3.858225927408175e-05
"2. noisy world (.1), eps fixed .1",total (true EIG),background,14,0.0003193400244391302,0.00031827878305625896,0.0003204012658220014
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),background,14,0.00031934002443431003,0.0003182787830514721,0.00032040126581714797
"2. noisy world (.1), eps fixed .1",KL (realized),background,14,0.00037580133521136544,0.00036165952921476117,0.0003899431412079697
"2. noisy world (.1), eps fixed .1",implemented EIG,background,14,0.001374431136061897,0.001370628151070483,0.001378234121053311
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),background,15,0.00024777102926322393,0.00024750819879487777,0.0002480338597315701
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),background,15,3.209531555373064e-05,3.116559833508758e-05,3.302503277237369e-05
"2. noisy world (.1), eps fixed .1",total (true EIG),background,15,0.00027986634481695454,0.00027886467937166204,0.00028086801026224703
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),background,15,0.000279866344811832,0.00027886467936654607,0.00028086801025711794
"2. noisy world (.1), eps fixed .1",KL (realized),background,15,0.0003160797922416752,0.00030288602128561047,0.0003292735631977399
"2. noisy world (.1), eps fixed .1",implemented EIG,background,15,0.0012109173650743242,0.0012072653639010312,0.0012145693662476173
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,1,0.016356382740826632,0.016337966301463263,0.01637479918019
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,1,0.01299870268554054,0.012533174387511255,0.013464230983569825
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,1,0.029355085426367167,0.028904556397434424,0.02980561445529991
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,1,0.02935508542636127,0.028904556397428616,0.02980561445529392
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,1,0.08133505184154294,0.07838025418588589,0.08428984949719999
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,1,0.06830893276183653,0.06781674473966699,0.06880112078400606
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,2,0.006968664794613488,0.0069610773578597926,0.006976252231367184
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,2,0.005051260790519068,0.004931318388992054,0.005171203192046081
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,2,0.012019925585132558,0.01190481497399556,0.012135036196269556
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,2,0.012019925585126283,0.011904814973989342,0.012135036196263225
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,2,0.024735984503699186,0.02381296330621489,0.02565900570118348
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,2,0.03203441581648341,0.031930239312294766,0.03213859232067206
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,3,0.00386735595625349,0.003863304325625493,0.003871407586881487
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,3,0.0028834060900620635,0.0028227459588765313,0.0029440662212475957
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,3,0.006750762046315555,0.006692150449677091,0.0068093736429540195
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,3,0.006750762046308863,0.006692150449670508,0.0068093736429472185
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,3,0.011168670444818549,0.01059467321752391,0.011742667672113188
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,3,0.019543725369355912,0.019473090122765723,0.0196143606159461
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,4,0.0024626982468336574,0.0024600010480381076,0.002465395445629207
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,4,0.001846205851135262,0.0018056740753778808,0.0018867376268926431
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,4,0.004308904097968919,0.004269706604994249,0.004348101590943589
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,4,0.004308904097962589,0.004269706604987973,0.0043481015909372055
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,4,0.005999387589948737,0.0057490414222965604,0.006249733757600913
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,4,0.013220210229797158,0.013162143119800416,0.013278277339793901
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,5,0.0017075644411720938,0.0017056759554197405,0.0017094529269244471
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,5,0.0012624400558449154,0.00124008025259692,0.0012847998590929108
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,5,0.002970004497017009,0.0029484624075994887,0.0029915465864345297
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,5,0.002970004497010696,0.0029484624075933104,0.0029915465864280818
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,5,0.004239289703891105,0.0039720668110958006,0.00450651259668641
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,5,0.009554651775863393,0.009518323211014862,0.009590980340711925
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,6,0.0012534871756159343,0.0012520843322489316,0.001254890018982937
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,6,0.0009235191416406091,0.0009065653480527123,0.0009404729352285059
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,6,0.002177006317256543,0.0021606375505528637,0.0021933750839602225
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,6,0.002177006317249761,0.0021606375505462032,0.002193375083953319
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,6,0.003041724632490116,0.00286779291233044,0.0032156563526497916
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,6,0.007223590960360713,0.007193721344345231,0.007253460576376195
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,7,0.0009594440297784138,0.0009583567732579629,0.0009605312862988648
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,7,0.0007047157533552816,0.0006943336517187835,0.0007150978549917796
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,7,0.0016641597831336952,0.0016541939768219484,0.001674125589445442
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,7,0.0016641597831265988,0.0016541939768150832,0.0016741255894381145
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,7,0.00214067264467326,0.0020737165425844585,0.002207628746762061
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,7,0.005661575660731837,0.005638614051289644,0.00568453727017403
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,8,0.0007581564535789002,0.0007573034411344714,0.000759009466023329
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,8,0.0005535357026114582,0.000545732875698314,0.0005613385295246024
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,8,0.0013116921561903585,0.001304183314998679,0.001319200997382038
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,8,0.0013116921561835586,0.001304183314992089,0.0013192009973750282
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,8,0.001728776284223287,0.0016659668026548524,0.0017915857657917218
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,8,0.00455370669228197,0.004537747492878082,0.004569665891685858
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,9,0.0006139748079662396,0.0006132564956462767,0.0006146931202862025
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,9,0.0004505822810936972,0.0004449219542821658,0.0004562426079052286
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,9,0.0010645570890599368,0.0010591686097272501,0.0010699455683926234
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,9,0.0010645570890532503,0.0010591686097206354,0.0010699455683858652
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,9,0.0012493565510676085,0.0011901914887250135,0.0013085216134102035
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,9,0.00374408835344748,0.003732271607902267,0.0037559050989926933
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,10,0.0005074755358478426,0.0005068862885849116,0.0005080647831107736
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,10,0.0003722886001289056,0.0003670709299378898,0.00037750627031992134
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,10,0.0008797641359767481,0.0008747511901064824,0.0008847770818470138
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,10,0.0008797641359710532,0.0008747511901009013,0.0008847770818412051
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,10,0.001092995823146612,0.0010549769638772142,0.00113101468241601
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,10,0.00313467931120606,0.003123647768517467,0.0031457108538946532
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,11,0.0004264937338946492,0.0004260048780041226,0.00042698258978517584
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,11,0.0003124542794772425,0.00030804960288389755,0.00031685895607058744
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,11,0.0007389480133718916,0.0007346940301194428,0.0007432019966243404
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,11,0.0007389480133652889,0.0007346940301129834,0.0007432019966175944
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,11,0.0009652060654258532,0.0009242007649469663,0.0010062113659047402
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,11,0.0026618273766388905,0.002652375188919585,0.002671279564358196
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,12,0.0003634636934860176,0.00036303492131368537,0.0003638924656583498
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,12,0.00026582620309573265,0.0002621759621647276,0.00026947644402673773
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,12,0.0006292898965817501,0.0006257821448237688,0.0006327976483397314
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,12,0.0006292898965759435,0.0006257821448181162,0.0006327976483337707
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,12,0.0007552575903162841,0.0007171290887422349,0.0007933860918903333
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,12,0.002285786484349662,0.0022775533148442616,0.0022940196538550625
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,13,0.0003134666088766163,0.00031309784736646164,0.000313835370386771
